caseId,skill,task,taskSplit,agent,environment,context,system,baseline_system,baseline_success,system_success,delta_success,comparison,baseline_rule_violations,system_rule_violations,baseline_failure_type,system_failure_type,latency_ms_delta,token_cost_delta,failed_criteria
skill-ci-diagnostic:skvm:linux:clean:ci-missing-env-001,skill-ci-diagnostic,ci-missing-env-001,held-out,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,975.0,1408.0,
skill-ci-diagnostic:skvm:linux:clean:ci-node-version-001,skill-ci-diagnostic,ci-node-version-001,development,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,1095.0,472.0,
skill-ci-diagnostic:skvm:linux:noisy:ci-missing-env-001,skill-ci-diagnostic,ci-missing-env-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,562.0,446.0,
skill-ci-diagnostic:skvm:linux:noisy:ci-node-version-001,skill-ci-diagnostic,ci-node-version-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-444.0,414.0,
skill-env-portability:skvm:linux:clean:portable-env-var-001,skill-env-portability,portable-env-var-001,development,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-832.0,396.0,
skill-env-portability:skvm:linux:clean:portable-rm-001,skill-env-portability,portable-rm-001,held-out,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-1217.0,373.0,
skill-env-portability:skvm:linux:noisy:portable-env-var-001,skill-env-portability,portable-env-var-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,815.0,480.0,
skill-env-portability:skvm:linux:noisy:portable-rm-001,skill-env-portability,portable-rm-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-107.0,371.0,
skill-git-hygiene:skvm:linux:clean:commit-scope-001,skill-git-hygiene,commit-scope-001,held-out,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,1846.0,1471.0,
skill-git-hygiene:skvm:linux:clean:dirty-worktree-001,skill-git-hygiene,dirty-worktree-001,development,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-614.0,512.0,
skill-git-hygiene:skvm:linux:noisy:commit-scope-001,skill-git-hygiene,commit-scope-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,4550.0,1694.0,
skill-git-hygiene:skvm:linux:noisy:dirty-worktree-001,skill-git-hygiene,dirty-worktree-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-133.0,462.0,
skill-report-synthesis:skvm:linux:clean:report-experiment-notes-001,skill-report-synthesis,report-experiment-notes-001,development,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-4902.0,481.0,
skill-report-synthesis:skvm:linux:clean:report-lab-update-001,skill-report-synthesis,report-lab-update-001,held-out,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,3370.0,1702.0,
skill-report-synthesis:skvm:linux:noisy:report-experiment-notes-001,skill-report-synthesis,report-experiment-notes-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,38303.0,3170.0,
skill-report-synthesis:skvm:linux:noisy:report-lab-update-001,skill-report-synthesis,report-lab-update-001,held-out,skvm,linux,noisy,ir-profile,original,False,True,1.0,gain,1,0,,,656.0,893.0,
skill-review:skvm:linux:clean:review-finding-order-001,skill-review,review-finding-order-001,development,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-1043.0,422.0,
skill-review:skvm:linux:clean:review-missing-test-001,skill-review,review-missing-test-001,held-out,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-437.0,454.0,
skill-review:skvm:linux:noisy:review-finding-order-001,skill-review,review-finding-order-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-766.0,383.0,
skill-review:skvm:linux:noisy:review-missing-test-001,skill-review,review-missing-test-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-1222.0,412.0,
skill-tdd-bugfix:skvm:linux:clean:tdd-empty-input-001,skill-tdd-bugfix,tdd-empty-input-001,development,skvm,linux,clean,ir-profile,original,False,True,1.0,gain,1,0,,,-32260.0,-12627.0,
skill-tdd-bugfix:skvm:linux:clean:tdd-off-by-one-001,skill-tdd-bugfix,tdd-off-by-one-001,held-out,skvm,linux,clean,ir-profile,original,True,True,0.0,same,0,0,,,-871.0,385.0,
skill-tdd-bugfix:skvm:linux:noisy:tdd-empty-input-001,skill-tdd-bugfix,tdd-empty-input-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-379.0,355.0,
skill-tdd-bugfix:skvm:linux:noisy:tdd-off-by-one-001,skill-tdd-bugfix,tdd-off-by-one-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,350.0,371.0,
