dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,clean,ir-profile,12,12,1.0,0,5119.75,1407.75,12,0.08333333333333333,0,0,0,0
context,clean,original,12,11,0.9166666666666666,1,8027.25,1787.0,0,0.0,0,0,0,0
context,noisy,ir-profile,12,12,1.0,0,8184.083333333333,1532.9166666666667,12,0.08333333333333333,0,0,0,0
context,noisy,original,12,11,0.9166666666666666,1,4668.666666666667,745.3333333333334,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,4,4,1.0,0,4903.5,1295.5,4,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,4,4,1.0,0,4356.5,610.5,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,4,4,1.0,0,4857.25,1023.25,4,0.0,0,0,0,0
skill,skill-env-portability,original,4,4,1.0,0,5192.5,618.25,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,4,4,1.0,0,6016.75,1648.5,4,0.0,0,0,0,0
skill,skill-git-hygiene,original,4,4,1.0,0,4604.5,613.75,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,4,4,1.0,0,16304.5,2716.75,4,0.25,0,0,0,0
skill,skill-report-synthesis,original,4,3,0.75,1,6947.75,1155.25,0,0.0,0,0,0,0
skill,skill-review,ir-profile,4,4,1.0,0,3795.5,1139.75,4,0.0,0,0,0,0
skill,skill-review,original,4,4,1.0,0,4662.5,722.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,4,4,1.0,0,4034.0,998.25,4,0.25,0,0,0,0
skill,skill-tdd-bugfix,original,4,3,0.75,1,12324.0,3877.25,0,0.0,0,0,0,0
taskSplit,development,ir-profile,12,12,1.0,0,7737.083333333333,1404.25,12,0.08333333333333333,0,0,0,0
taskSplit,development,original,12,11,0.9166666666666666,1,7833.75,1827.5833333333333,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,12,12,1.0,0,5566.75,1536.4166666666667,12,0.08333333333333333,0,0,0,0
taskSplit,held-out,original,12,11,0.9166666666666666,1,4862.166666666667,704.75,0,0.0,0,0,0,0
