caseId,skill,task,taskSplit,agent,environment,context,system,baseline_system,baseline_success,system_success,delta_success,comparison,baseline_rule_violations,system_rule_violations,baseline_failure_type,system_failure_type,latency_ms_delta,token_cost_delta,failed_criteria
skill-ci-diagnostic:skvm:linux:compressed:ci-engine-warning-hard-002,skill-ci-diagnostic,ci-engine-warning-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,817.0,425.0,
skill-ci-diagnostic:skvm:linux:compressed:ci-engine-warning-hard-002,skill-ci-diagnostic,ci-engine-warning-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,-845.0,424.0,
skill-env-portability:skvm:linux:compressed:portable-env-chain-hard-002,skill-env-portability,portable-env-chain-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,False,0.0,same,0,0,infrastructure,infrastructure,1884.0,0.0,process exited with code 1
skill-env-portability:skvm:linux:compressed:portable-env-chain-hard-002,skill-env-portability,portable-env-chain-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,False,0.0,same,0,0,infrastructure,infrastructure,6854.0,0.0,process exited with code 1
skill-git-hygiene:skvm:linux:compressed:commit-partial-index-hard-002,skill-git-hygiene,commit-partial-index-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,False,0.0,same,0,0,infrastructure,infrastructure,1109.0,0.0,process exited with code 1
skill-git-hygiene:skvm:linux:compressed:commit-partial-index-hard-002,skill-git-hygiene,commit-partial-index-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,False,0.0,same,0,0,infrastructure,infrastructure,3427.0,0.0,process exited with code 1
skill-report-synthesis:skvm:linux:compressed:report-conflicting-notes-hard-002,skill-report-synthesis,report-conflicting-notes-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,2315.0,962.0,
skill-report-synthesis:skvm:linux:compressed:report-conflicting-notes-hard-002,skill-report-synthesis,report-conflicting-notes-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,1746.0,666.0,
skill-review:skvm:linux:compressed:review-data-loss-hard-002,skill-review,review-data-loss-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,-395.0,378.0,
skill-review:skvm:linux:compressed:review-data-loss-hard-002,skill-review,review-data-loss-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,-1159.0,340.0,
skill-tdd-bugfix:skvm:linux:compressed:tdd-whitespace-name-hard-002,skill-tdd-bugfix,tdd-whitespace-name-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,-802.0,319.0,
skill-tdd-bugfix:skvm:linux:compressed:tdd-whitespace-name-hard-002,skill-tdd-bugfix,tdd-whitespace-name-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,1859.0,391.0,
