dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-pgo,6,4,0.6666666666666666,0,7783.5,1693.75,4,0.0,0,0,2,0
context,compressed,ir-profile,6,4,0.6666666666666666,0,8942.5,1628.0,4,0.0,0,0,2,0
context,compressed,original,6,4,0.6666666666666666,0,6962.166666666667,1172.75,0,0.0,0,0,2,0
skill,skill-ci-diagnostic,ir-pgo,1,1,1.0,0,5140.0,1370.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,3478.0,1369.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,4323.0,945.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-pgo,1,0,0.0,0,15286.0,0.0,0,0.0,0,0,1,0
skill,skill-env-portability,ir-profile,1,0,0.0,0,20256.0,0.0,0,0.0,0,0,1,0
skill,skill-env-portability,original,1,0,0.0,0,13402.0,0.0,0,0.0,0,0,1,0
skill,skill-git-hygiene,ir-pgo,1,0,0.0,0,7307.0,0.0,0,0.0,0,0,1,0
skill,skill-git-hygiene,ir-profile,1,0,0.0,0,9625.0,0.0,0,0.0,0,0,1,0
skill,skill-git-hygiene,original,1,0,0.0,0,6198.0,0.0,0,0.0,0,0,1,0
skill,skill-report-synthesis,ir-pgo,1,1,1.0,0,7846.0,2252.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,7277.0,1956.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,original,1,1,1.0,0,5531.0,1290.0,0,0.0,0,0,0,0
skill,skill-review,ir-pgo,1,1,1.0,0,5769.0,1598.0,1,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,5005.0,1560.0,1,0.0,0,0,0,0
skill,skill-review,original,1,1,1.0,0,6164.0,1220.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-pgo,1,1,1.0,0,5353.0,1555.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,8014.0,1627.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,1,1.0,0,6155.0,1236.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-pgo,6,4,0.6666666666666666,0,7783.5,1693.75,4,0.0,0,0,2,0
taskSplit,held-out,ir-profile,6,4,0.6666666666666666,0,8942.5,1628.0,4,0.0,0,0,2,0
taskSplit,held-out,original,6,4,0.6666666666666666,0,6962.166666666667,1172.75,0,0.0,0,0,2,0
