caseId,skill,task,taskSplit,agent,environment,context,system,baseline_system,baseline_success,system_success,delta_success,comparison,baseline_rule_violations,system_rule_violations,baseline_failure_type,system_failure_type,latency_ms_delta,token_cost_delta,failed_criteria
skill-ci-diagnostic:skvm:linux:compressed:ci-engine-warning-hard-002,skill-ci-diagnostic,ci-engine-warning-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,-101.0,299.0,
skill-ci-diagnostic:skvm:linux:compressed:ci-engine-warning-hard-002,skill-ci-diagnostic,ci-engine-warning-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,3758.0,821.0,
skill-env-portability:skvm:linux:compressed:portable-env-chain-hard-002,skill-env-portability,portable-env-chain-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,1801.0,882.0,
skill-env-portability:skvm:linux:compressed:portable-env-chain-hard-002,skill-env-portability,portable-env-chain-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,9875.0,1051.0,
skill-git-hygiene:skvm:linux:compressed:commit-partial-index-hard-002,skill-git-hygiene,commit-partial-index-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,True,1.0,gain,1,0,,,18756.0,2586.0,
skill-git-hygiene:skvm:linux:compressed:commit-partial-index-hard-002,skill-git-hygiene,commit-partial-index-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,True,1.0,gain,1,0,,,25228.0,977.0,
skill-report-synthesis:skvm:linux:compressed:report-conflicting-notes-hard-002,skill-report-synthesis,report-conflicting-notes-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,1277.0,591.0,
skill-report-synthesis:skvm:linux:compressed:report-conflicting-notes-hard-002,skill-report-synthesis,report-conflicting-notes-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,-399.0,627.0,
skill-review:skvm:linux:compressed:review-data-loss-hard-002,skill-review,review-data-loss-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,-6580.0,349.0,
skill-review:skvm:linux:compressed:review-data-loss-hard-002,skill-review,review-data-loss-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,6822.0,356.0,
skill-tdd-bugfix:skvm:linux:compressed:tdd-whitespace-name-hard-002,skill-tdd-bugfix,tdd-whitespace-name-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,28334.0,11515.0,
skill-tdd-bugfix:skvm:linux:compressed:tdd-whitespace-name-hard-002,skill-tdd-bugfix,tdd-whitespace-name-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,False,-1.0,regression,0,1,,,12592.0,6059.0,Edge-case failing test is mentioned.
