caseId,skill,task,taskSplit,agent,environment,context,system,baseline_system,baseline_success,system_success,delta_success,comparison,baseline_rule_violations,system_rule_violations,baseline_failure_type,system_failure_type,latency_ms_delta,token_cost_delta,failed_criteria
skill-ci-diagnostic:skvm:linux:compressed:ci-engine-warning-hard-002,skill-ci-diagnostic,ci-engine-warning-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,-650.0,285.0,
skill-ci-diagnostic:skvm:linux:compressed:ci-engine-warning-hard-002,skill-ci-diagnostic,ci-engine-warning-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,842.0,295.0,
skill-env-portability:skvm:linux:compressed:portable-env-chain-hard-002,skill-env-portability,portable-env-chain-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,False,0.0,same,2,1,,,19218.0,6819.0,Node-based portable alternative is provided.
skill-env-portability:skvm:linux:compressed:portable-env-chain-hard-002,skill-env-portability,portable-env-chain-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,True,1.0,gain,2,0,,,-16972.0,-2477.0,
skill-git-hygiene:skvm:linux:compressed:commit-partial-index-hard-002,skill-git-hygiene,commit-partial-index-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,False,0.0,same,1,1,,,-36824.0,-5332.0,Secret-like files are excluded from commit.
skill-git-hygiene:skvm:linux:compressed:commit-partial-index-hard-002,skill-git-hygiene,commit-partial-index-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,False,0.0,same,1,1,,,-25107.0,-4473.0,Git status is mentioned.
skill-report-synthesis:skvm:linux:compressed:report-conflicting-notes-hard-002,skill-report-synthesis,report-conflicting-notes-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,True,True,0.0,same,0,0,,,-1605.0,976.0,
skill-report-synthesis:skvm:linux:compressed:report-conflicting-notes-hard-002,skill-report-synthesis,report-conflicting-notes-hard-002,held-out,skvm,linux,compressed,ir-profile,original,True,True,0.0,same,0,0,,,-1055.0,1064.0,
skill-review:skvm:linux:compressed:review-data-loss-hard-002,skill-review,review-data-loss-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,False,0.0,same,1,1,,,11157.0,2456.0,Findings appear before summary.
skill-review:skvm:linux:compressed:review-data-loss-hard-002,skill-review,review-data-loss-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,True,1.0,gain,1,0,,,4976.0,2409.0,
skill-tdd-bugfix:skvm:linux:compressed:tdd-whitespace-name-hard-002,skill-tdd-bugfix,tdd-whitespace-name-hard-002,held-out,skvm,linux,compressed,ir-pgo,original,False,True,1.0,gain,4,0,,,-35147.0,-5912.0,
skill-tdd-bugfix:skvm:linux:compressed:tdd-whitespace-name-hard-002,skill-tdd-bugfix,tdd-whitespace-name-hard-002,held-out,skvm,linux,compressed,ir-profile,original,False,True,1.0,gain,4,0,,,2643.0,3183.0,
