dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-pgo,6,3,0.5,3,20087.0,5282.166666666667,6,0.16666666666666666,0,0,0,0
context,compressed,ir-profile,6,5,0.8333333333333334,1,21616.666666666668,5400.333333333333,6,0.5,0,0,0,0
context,compressed,original,6,2,0.3333333333333333,8,27395.5,5400.166666666667,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-pgo,1,1,1.0,0,4479.0,1649.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,5971.0,1659.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,5129.0,1364.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-pgo,1,0,0.0,1,53376.0,13591.0,1,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,1,1,1.0,0,17186.0,4295.0,1,1.0,0,0,0,0
skill,skill-env-portability,original,1,0,0.0,2,34158.0,6772.0,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-pgo,1,0,0.0,1,17300.0,4195.0,1,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,1,0,0.0,1,29017.0,5054.0,1,0.0,0,0,0,0
skill,skill-git-hygiene,original,1,0,0.0,1,54124.0,9527.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-pgo,1,1,1.0,0,12417.0,4115.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,12967.0,4203.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,original,1,1,1.0,0,14022.0,3139.0,0,0.0,0,0,0,0
skill,skill-review,ir-pgo,1,0,0.0,1,16035.0,3846.0,1,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,9854.0,3799.0,1,1.0,0,0,0,0
skill,skill-review,original,1,0,0.0,1,4878.0,1390.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-pgo,1,1,1.0,0,16915.0,4297.0,1,1.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,54705.0,13392.0,1,1.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,0,0.0,4,52062.0,10209.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-pgo,6,3,0.5,3,20087.0,5282.166666666667,6,0.16666666666666666,0,0,0,0
taskSplit,held-out,ir-profile,6,5,0.8333333333333334,1,21616.666666666668,5400.333333333333,6,0.5,0,0,0,0
taskSplit,held-out,original,6,2,0.3333333333333333,8,27395.5,5400.166666666667,0,0.0,0,0,0,0
