dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-profile,6,6,1.0,0,20674.5,3701.6666666666665,6,0.16666666666666666,0,0,0,0
context,compressed,original,6,5,0.8333333333333334,1,25660.666666666668,4042.5,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,12300.0,2047.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,12476.0,1568.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,1,1,1.0,0,49256.0,5596.0,1,0.0,0,0,0,0
skill,skill-env-portability,original,1,1,1.0,0,68660.0,6819.0,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,1,1,1.0,0,13709.0,2430.0,1,0.0,0,0,0,0
skill,skill-git-hygiene,original,1,1,1.0,0,13924.0,2170.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,7440.0,1647.0,1,1.0,0,0,0,0
skill,skill-report-synthesis,original,1,0,0.0,1,6506.0,1186.0,0,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,17717.0,3747.0,1,0.0,0,0,0,0
skill,skill-review,original,1,1,1.0,0,6927.0,1119.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,23625.0,6743.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,1,1.0,0,45471.0,11393.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,6,1.0,0,20674.5,3701.6666666666665,6,0.16666666666666666,0,0,0,0
taskSplit,held-out,original,6,5,0.8333333333333334,1,25660.666666666668,4042.5,0,0.0,0,0,0,0
