dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-profile,6,6,1.0,0,6590.666666666667,1999.0,6,0.0,0,0,0,0
context,compressed,original,6,6,1.0,0,6087.666666666667,1057.5,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,5251.0,2257.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,3868.0,768.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,1,1,1.0,0,7811.0,1415.0,1,0.0,0,0,0,0
skill,skill-env-portability,original,1,1,1.0,0,9075.0,1084.0,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,1,1,1.0,0,9414.0,2873.0,1,0.0,0,0,0,0
skill,skill-git-hygiene,original,1,1,1.0,0,4429.0,824.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,9232.0,2946.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,original,1,1,1.0,0,9757.0,2032.0,0,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,4111.0,1357.0,1,0.0,0,0,0,0
skill,skill-review,original,1,1,1.0,0,6401.0,972.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,3725.0,1146.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,1,1.0,0,2996.0,665.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,6,1.0,0,6590.666666666667,1999.0,6,0.0,0,0,0,0
taskSplit,held-out,original,6,6,1.0,0,6087.666666666667,1057.5,0,0.0,0,0,0,0
