dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-profile,6,4,0.6666666666666666,0,10717.5,1648.75,4,0.0,0,0,2,0
context,compressed,original,6,4,0.6666666666666666,0,7572.0,1172.75,0,0.0,0,0,2,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,3632.0,1369.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,4528.0,945.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,1,0,0.0,0,20801.0,0.0,0,0.0,0,0,1,0
skill,skill-env-portability,original,1,0,0.0,0,13485.0,0.0,0,0.0,0,0,1,0
skill,skill-git-hygiene,ir-profile,1,0,0.0,0,10675.0,0.0,0,0.0,0,0,1,0
skill,skill-git-hygiene,original,1,0,0.0,0,6672.0,0.0,0,0.0,0,0,1,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,7585.0,2039.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,original,1,1,1.0,0,5936.0,1290.0,0,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,5272.0,1560.0,1,0.0,0,0,0,0
skill,skill-review,original,1,1,1.0,0,6629.0,1220.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,16340.0,1627.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,1,1.0,0,8182.0,1236.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,4,0.6666666666666666,0,10717.5,1648.75,4,0.0,0,0,2,0
taskSplit,held-out,original,6,4,0.6666666666666666,0,7572.0,1172.75,0,0.0,0,0,2,0
