dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-profile,6,6,1.0,0,14747.166666666666,1833.6666666666667,6,0.0,0,0,0,0
context,compressed,original,6,6,1.0,0,6760.333333333333,1218.3333333333333,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,3860.0,1238.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,4252.0,759.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,1,1,1.0,0,7018.0,1390.0,1,0.0,0,0,0,0
skill,skill-env-portability,original,1,1,1.0,0,9569.0,1090.0,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,1,1,1.0,0,58435.0,2898.0,1,0.0,0,0,0,0
skill,skill-git-hygiene,original,1,1,1.0,0,6916.0,1509.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,11021.0,3108.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,original,1,1,1.0,0,10737.0,2385.0,0,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,4323.0,1264.0,1,0.0,0,0,0,0
skill,skill-review,original,1,1,1.0,0,4448.0,874.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,3826.0,1104.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,1,1.0,0,4640.0,693.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,6,1.0,0,14747.166666666666,1833.6666666666667,6,0.0,0,0,0,0
taskSplit,held-out,original,6,6,1.0,0,6760.333333333333,1218.3333333333333,0,0.0,0,0,0,0
