dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,compressed,ir-profile,6,6,1.0,0,22832.333333333332,2813.0,6,0.0,0,0,0,0
context,compressed,original,6,6,1.0,0,15579.166666666666,2928.5,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,1,1,1.0,0,8332.0,1854.0,1,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,1,1,1.0,0,4995.0,1077.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,1,1,1.0,0,34665.0,3792.0,1,0.0,0,0,0,0
skill,skill-env-portability,original,1,1,1.0,0,37490.0,4841.0,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,1,1,1.0,0,68333.0,4687.0,1,0.0,0,0,0,0
skill,skill-git-hygiene,original,1,1,1.0,0,10311.0,1818.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,1,1,1.0,0,7362.0,1522.0,1,0.0,0,0,0,0
skill,skill-report-synthesis,original,1,1,1.0,0,7397.0,1419.0,0,0.0,0,0,0,0
skill,skill-review,ir-profile,1,1,1.0,0,5076.0,1317.0,1,0.0,0,0,0,0
skill,skill-review,original,1,1,1.0,0,4488.0,929.0,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,1,1,1.0,0,13226.0,3706.0,1,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,1,1,1.0,0,28794.0,7487.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,6,1.0,0,22832.333333333332,2813.0,6,0.0,0,0,0,0
taskSplit,held-out,original,6,6,1.0,0,15579.166666666666,2928.5,0,0.0,0,0,0,0
