caseId,skill,task,taskSplit,agent,environment,context,system,baseline_system,baseline_success,system_success,delta_success,comparison,baseline_rule_violations,system_rule_violations,baseline_failure_type,system_failure_type,latency_ms_delta,token_cost_delta,failed_criteria
skill-ci-diagnostic:skvm:linux:long:ci-missing-env-001,skill-ci-diagnostic,ci-missing-env-001,held-out,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,584.0,1439.0,
skill-ci-diagnostic:skvm:linux:long:ci-node-version-001,skill-ci-diagnostic,ci-node-version-001,development,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,1373.0,1509.0,
skill-env-portability:skvm:linux:long:portable-env-var-001,skill-env-portability,portable-env-var-001,development,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,453.0,472.0,
skill-env-portability:skvm:linux:long:portable-rm-001,skill-env-portability,portable-rm-001,held-out,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,-1992.0,352.0,
skill-git-hygiene:skvm:linux:long:commit-scope-001,skill-git-hygiene,commit-scope-001,held-out,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,-1478.0,-93.0,
skill-git-hygiene:skvm:linux:long:dirty-worktree-001,skill-git-hygiene,dirty-worktree-001,development,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,548.0,526.0,
skill-report-synthesis:skvm:linux:long:report-experiment-notes-001,skill-report-synthesis,report-experiment-notes-001,development,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,1523.0,2921.0,
skill-report-synthesis:skvm:linux:long:report-lab-update-001,skill-report-synthesis,report-lab-update-001,held-out,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,707.0,965.0,
skill-review:skvm:linux:long:review-finding-order-001,skill-review,review-finding-order-001,development,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,-408.0,419.0,
skill-review:skvm:linux:long:review-missing-test-001,skill-review,review-missing-test-001,held-out,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,278.0,423.0,
skill-tdd-bugfix:skvm:linux:long:tdd-empty-input-001,skill-tdd-bugfix,tdd-empty-input-001,development,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,1104.0,478.0,
skill-tdd-bugfix:skvm:linux:long:tdd-off-by-one-001,skill-tdd-bugfix,tdd-off-by-one-001,held-out,skvm,linux,long,ir-profile,original,True,True,0.0,same,0,0,,,-676.0,412.0,
