dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,long,ir-profile,12,12,1.0,0,5207.916666666667,1792.0833333333333,12,0.0,0,0,0,0
context,long,original,12,12,1.0,0,5039.916666666667,973.5,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,2,2,1.0,0,4823.5,2222.0,2,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,2,2,1.0,0,3845.0,748.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,2,2,1.0,0,5018.0,1200.5,2,0.0,0,0,0,0
skill,skill-env-portability,original,2,2,1.0,0,5787.5,788.5,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,2,2,1.0,0,4031.5,1222.5,2,0.0,0,0,0,0
skill,skill-git-hygiene,original,2,2,1.0,0,4496.5,1006.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,2,2,1.0,0,7928.5,3617.5,2,0.0,0,0,0,0
skill,skill-report-synthesis,original,2,2,1.0,0,6813.5,1674.5,0,0.0,0,0,0,0
skill,skill-review,ir-profile,2,2,1.0,0,4474.0,1295.5,2,0.0,0,0,0,0
skill,skill-review,original,2,2,1.0,0,4539.0,874.5,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,2,2,1.0,0,4972.0,1194.5,2,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,2,2,1.0,0,4758.0,749.5,0,0.0,0,0,0,0
taskSplit,development,ir-profile,6,6,1.0,0,5727.833333333333,1988.0,6,0.0,0,0,0,0
taskSplit,development,original,6,6,1.0,0,4962.333333333333,933.8333333333334,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,6,1.0,0,4688.0,1596.1666666666667,6,0.0,0,0,0,0
taskSplit,held-out,original,6,6,1.0,0,5117.5,1013.1666666666666,0,0.0,0,0,0,0
