caseId,skill,task,taskSplit,agent,environment,context,system,baseline_system,baseline_success,system_success,delta_success,comparison,baseline_rule_violations,system_rule_violations,baseline_failure_type,system_failure_type,latency_ms_delta,token_cost_delta,failed_criteria
skill-ci-diagnostic:skvm:linux:noisy:ci-missing-env-001,skill-ci-diagnostic,ci-missing-env-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,630.0,1380.0,
skill-ci-diagnostic:skvm:linux:noisy:ci-node-version-001,skill-ci-diagnostic,ci-node-version-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,2904.0,2400.0,
skill-env-portability:skvm:linux:noisy:portable-env-var-001,skill-env-portability,portable-env-var-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-918.0,460.0,
skill-env-portability:skvm:linux:noisy:portable-rm-001,skill-env-portability,portable-rm-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-444.0,424.0,
skill-git-hygiene:skvm:linux:noisy:commit-scope-001,skill-git-hygiene,commit-scope-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-1770.0,-92.0,
skill-git-hygiene:skvm:linux:noisy:dirty-worktree-001,skill-git-hygiene,dirty-worktree-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-228.0,486.0,
skill-report-synthesis:skvm:linux:noisy:report-experiment-notes-001,skill-report-synthesis,report-experiment-notes-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,49523.0,2886.0,
skill-report-synthesis:skvm:linux:noisy:report-lab-update-001,skill-report-synthesis,report-lab-update-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,542.0,945.0,
skill-review:skvm:linux:noisy:review-finding-order-001,skill-review,review-finding-order-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-177.0,426.0,
skill-review:skvm:linux:noisy:review-missing-test-001,skill-review,review-missing-test-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-1181.0,434.0,
skill-tdd-bugfix:skvm:linux:noisy:tdd-empty-input-001,skill-tdd-bugfix,tdd-empty-input-001,development,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-28.0,310.0,
skill-tdd-bugfix:skvm:linux:noisy:tdd-off-by-one-001,skill-tdd-bugfix,tdd-off-by-one-001,held-out,skvm,linux,noisy,ir-profile,original,True,True,0.0,same,0,0,,,-644.0,358.0,
