dimension,value,system,row_count,successes,mean_success,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
context,noisy,ir-profile,12,12,1.0,0,8918.25,1760.25,12,0.0,0,0,0,0
context,noisy,original,12,12,1.0,0,4900.833333333333,892.1666666666666,0,0.0,0,0,0,0
skill,skill-ci-diagnostic,ir-profile,2,2,1.0,0,5387.5,2555.0,2,0.0,0,0,0,0
skill,skill-ci-diagnostic,original,2,2,1.0,0,3620.5,665.0,0,0.0,0,0,0,0
skill,skill-env-portability,ir-profile,2,2,1.0,0,4479.0,1108.5,2,0.0,0,0,0,0
skill,skill-env-portability,original,2,2,1.0,0,5160.0,666.5,0,0.0,0,0,0,0
skill,skill-git-hygiene,ir-profile,2,2,1.0,0,3855.0,1161.0,2,0.0,0,0,0,0
skill,skill-git-hygiene,original,2,2,1.0,0,4854.0,964.0,0,0.0,0,0,0,0
skill,skill-report-synthesis,ir-profile,2,2,1.0,0,32065.5,3481.5,2,0.0,0,0,0,0
skill,skill-report-synthesis,original,2,2,1.0,0,7033.0,1566.0,0,0.0,0,0,0,0
skill,skill-review,ir-profile,2,2,1.0,0,4123.5,1215.5,2,0.0,0,0,0,0
skill,skill-review,original,2,2,1.0,0,4802.5,785.5,0,0.0,0,0,0,0
skill,skill-tdd-bugfix,ir-profile,2,2,1.0,0,3599.0,1040.0,2,0.0,0,0,0,0
skill,skill-tdd-bugfix,original,2,2,1.0,0,3935.0,706.0,0,0.0,0,0,0,0
taskSplit,development,ir-profile,6,6,1.0,0,13463.833333333334,2030.3333333333333,6,0.0,0,0,0,0
taskSplit,development,original,6,6,1.0,0,4951.166666666667,869.0,0,0.0,0,0,0,0
taskSplit,held-out,ir-profile,6,6,1.0,0,4372.666666666667,1490.1666666666667,6,0.0,0,0,0,0
taskSplit,held-out,original,6,6,1.0,0,4850.5,915.3333333333334,0,0.0,0,0,0,0
